COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
MCDUFFIE,16.99,17.47,0.00,17.25
MCINTOSH,21.74,24.85,0.00,23.37
MACON,18.71,20.23,0.00,19.55
MADISON,21.91,18.69,16.00,20.21
MARION,19.79,17.88,0.00,18.77
MERIWETHER,17.06,16.98,16.67,17.02
MILLER,26.20,26.39,0.00,26.30
MITCHELL,17.30,18.54,0.00,17.97
MONROE,24.78,24.29,6.45,24.49
MONTGOMERY,31.31,32.61,20.00,31.99
MORGAN,22.13,22.71,0.00,22.42
MURRAY,13.90,11.46,9.09,12.63
MUSCOGEE,17.73,18.99,5.15,18.42
NEWTON,16.19,17.76,11.11,17.06
OCONEE,27.98,26.90,7.14,27.39
OGLETHORPE,21.87,20.95,12.50,21.38
PAULDING,14.63,14.44,4.49,14.52
PEACH,17.35,17.79,7.69,17.58
PICKENS,23.81,22.69,0.00,23.23
PIERCE,27.72,23.58,7.69,25.47
PIKE,23.04,21.66,0.00,22.32
POLK,17.36,13.92,0.00,15.51
PULASKI,17.14,13.59,0.00,15.22
PUTNAM,25.16,26.32,0.00,25.76
QUITMAN,28.39,29.62,0.00,29.07
RABUN,31.38,31.20,0.00,31.26
RANDOLPH,29.09,32.21,0.00,30.84
RICHMOND,21.89,23.41,3.73,22.59
ROCKDALE,19.38,21.99,6.38,20.80
SCHLEY,26.29,24.22,0.00,25.15
SCREVEN,19.71,23.09,25.00,21.53
SEMINOLE,27.15,28.16,0.00,27.69
SPALDING,19.00,19.52,4.55,19.27
STEPHENS,20.34,17.86,0.00,19.01
STEWART,17.10,20.70,0.00,19.00
SUMTER,21.68,21.63,25.00,21.65
TALBOT,18.94,20.73,0.00,19.92
TALIAFERRO,44.32,50.00,100.0,47.20
TATTNALL,19.85,19.11,19.05,19.45
TAYLOR,17.92,18.19,0.00,18.05
TELFAIR,17.48,17.75,0.00,17.62
TERRELL,17.54,20.10,28.57,18.95
THOMAS,13.45,13.17,3.23,13.28
TIFT,20.16,17.19,4.26,18.51
TOOMBS,19.97,19.45,0.00,19.67
TOWNS,21.45,19.70,16.67,20.52
TREUTLEN,21.37,20.17,0.00,20.70
TROUP,16.49,15.42,1.85,15.88
TURNER,19.59,18.66,0.00,19.06
TWIGGS,24.06,28.92,0.00,26.56
UNION,32.77,30.63,23.53,31.63
UPSON,26.39,24.13,13.33,25.13
WALKER,12.78,11.51,0.00,12.10
WALTON,16.93,15.48,17.78,16.16
WARE,18.58,15.84,0.00,17.05
WARREN,17.42,19.63,50.00,18.64
WASHINGTON,28.56,28.46,0.00,28.50
WAYNE,23.30,20.93,0.00,22.00
WEBSTER,16.64,21.01,100.0,19.04
WHEELER,17.62,16.69,0.00,17.13
WHITE,22.96,22.52,0.00,22.73
WHITFIELD,13.25,11.79,6.00,12.48
WILCOX,24.48,22.67,33.33,23.51
WILKES,19.35,20.88,0.00,20.18
WILKINSON,28.12,31.26,0.00,29.80
WORTH,22.50,21.20,11.11,21.80
TOTAL,17.05,17.99,7.12,17.54
