COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
MERIWETHER,9.59,8.66,0.00,9.08
MILLER,5.54,3.93,0.00,4.66
MITCHELL,9.97,9.43,0.00,9.66
MONROE,14.47,11.32,0.00,12.79
MONTGOMERY,13.85,12.25,0.00,12.99
MORGAN,20.61,18.20,0.00,19.31
MURRAY,9.20,7.32,0.00,8.22
MUSCOGEE,6.77,5.81,0.00,6.22
NEWTON,11.93,10.38,0.00,11.07
OCONEE,21.07,16.82,5.00,18.82
OGLETHORPE,14.32,12.14,0.00,13.16
PAULDING,9.06,7.24,4.35,8.08
PEACH,8.47,7.69,0.00,8.05
PICKENS,16.08,12.29,0.00,14.07
PIERCE,16.56,12.54,0.00,14.39
PIKE,15.48,13.88,0.00,14.65
POLK,17.17,14.53,0.00,15.75
PULASKI,12.03,7.45,0.00,9.54
PUTNAM,17.89,14.56,0.00,16.09
QUITMAN,8.47,6.56,0.00,7.40
RABUN,16.05,13.24,0.00,14.56
RANDOLPH,10.72,10.03,0.00,10.33
RICHMOND,13.53,13.51,13.13,13.52
ROCKDALE,9.65,8.25,0.00,8.87
SCHLEY,7.40,6.62,0.00,6.97
SCREVEN,8.69,7.41,0.00,8.00
SEMINOLE,10.63,9.26,0.00,9.87
SPALDING,14.48,11.78,0.00,12.99
STEPHENS,7.90,6.25,0.00,7.00
STEWART,5.56,7.32,0.00,6.52
SUMTER,17.49,18.04,0.00,17.80
TALBOT,7.22,6.90,0.00,7.05
TALIAFERRO,10.83,11.54,0.00,11.20
TATTNALL,12.76,10.13,0.00,11.31
TAYLOR,8.44,7.56,0.00,7.95
TELFAIR,6.62,5.92,0.00,6.25
TERRELL,8.46,7.75,0.00,8.06
THOMAS,7.70,6.38,0.00,6.97
TIFT,13.12,9.66,0.00,11.18
TOOMBS,11.69,9.27,0.00,10.34
TOWNS,15.79,14.82,0.00,15.28
TREUTLEN,8.00,6.56,0.00,7.21
TROUP,8.41,7.18,16.67,7.73
TURNER,12.20,10.15,0.00,11.07
TWIGGS,8.70,8.46,0.00,8.57
UNION,16.91,13.70,33.33,15.21
UPSON,11.78,9.51,0.00,10.52
WALKER,7.11,5.59,0.00,6.29
WALTON,18.33,15.41,7.69,16.76
WARE,14.40,11.37,0.00,12.69
WARREN,9.68,8.96,0.00,9.28
WASHINGTON,12.60,10.39,0.00,11.36
WAYNE,18.93,15.29,0.00,16.92
WEBSTER,9.56,6.20,0.00,7.76
WHEELER,8.08,7.70,0.00,7.88
WHITE,15.56,13.07,0.00,14.24
WHITFIELD,12.70,11.12,0.00,11.86
WILCOX,10.48,8.59,0.00,9.46
WILKES,12.50,10.58,0.00,11.45
WILKINSON,8.32,8.50,0.00,8.42
WORTH,17.47,13.19,0.00,15.12
TOTAL,11.46,9.99,3.62,10.66
