,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
114,09I,27.72,44.28,0.0,35.6
115,09K,25.81,43.61,17.39,36.05
116,09M,62.83,66.23,50.0,64.58
117,10A,40.38,62.01,0.0,52.35
118,10B,53.28,67.13,16.67,61.23
119,10C,29.09,49.19,0.0,41.69
120,10D,30.73,42.85,6.25,37.65
121,10E,41.11,56.21,0.0,49.23
122,10F,41.33,58.18,0.0,50.48
123,10G,55.39,67.21,0.0,62.09
124,10H1,42.79,58.13,0.0,50.99
125,10H2,31.17,46.12,0.0,39.81
126,10I,64.56,76.56,0.0,70.94
127,10J,29.07,49.49,0.0,39.13
128,10K,50.95,60.63,0.0,56.2
129,10M,39.9,57.41,41.67,48.91
130,10P,34.7,51.48,0.0,43.65
131,10R,29.75,52.18,0.0,43.23
132,11B,46.16,62.8,25.0,55.4
133,11C,61.83,69.76,0.0,66.12
134,11E1,43.8,55.04,0.0,49.84
135,11E2,44.92,62.5,0.0,54.34
136,11E3,44.21,56.73,20.0,51.6
137,11G,27.37,39.23,16.67,33.96
138,11H,38.44,55.44,25.0,47.38
139,11J,41.41,55.86,12.5,49.56
140,11K,48.31,61.85,50.0,55.63
141,11M,41.26,53.22,0.0,47.95
142,11N,49.2,65.75,0.0,58.37
143,11P,40.79,54.64,25.0,49.18
144,11R,23.54,37.98,0.0,31.38
145,12A,42.63,57.06,38.46,49.99
146,12D,27.83,43.16,0.0,36.32
147,12E1,27.2,36.12,12.5,31.83
148,12F,30.84,44.83,0.0,38.01
149,12G,41.47,54.16,25.0,48.04
150,12H1,18.15,32.03,0.0,26.01
151,12H2,33.02,47.36,0.0,40.83
152,12I,30.12,43.46,40.0,37.56
153,12J,26.87,46.67,14.29,38.37
154,12K,29.08,41.19,14.29,35.06
155,12L,25.38,38.29,50.0,32.61
156,12M,32.28,46.85,10.0,40.41
157,12N,27.09,31.71,28.57,29.38
158,12S,38.07,50.51,0.0,45.12
159,88888,1.5,5.84,100.0,3.22
160,99999,0.14,0.24,0.0,0.17
161,AP01A,59.18,60.13,45.45,59.62
162,AP01B,44.91,52.18,100.0,48.72
163,AP01C,62.12,61.22,33.33,61.6
164,AP01D,52.42,51.35,42.86,51.78
165,AP021,59.26,60.47,75.0,59.94
166,AP022,56.0,58.54,44.44,57.41
167,AP02B,52.31,49.0,100.0,50.48
168,AP03,33.24,38.1,0.0,35.98
169,AP04A,63.85,67.87,100.0,66.03
170,AP04B,65.61,63.39,0.0,64.49
171,AP05,62.15,62.52,88.89,62.38
172,AP06,65.67,65.54,100.0,65.69
173,AP07A,54.82,56.36,44.44,55.63
174,AP07B,63.09,64.46,57.14,63.75
175,AP09A,58.68,60.47,58.82,59.59
176,AP09B,60.05,58.99,40.0,59.38
177,AP10,64.1,64.99,0.0,64.56
178,AP12A,47.68,50.35,100.0,49.33
179,AP12B,44.92,47.47,100.0,46.3
180,AP12C,57.61,57.95,100.0,57.87
181,AP14,62.55,63.78,62.5,63.17
182,CH01,41.21,50.53,0.0,46.07
183,CH02,63.92,59.41,0.0,61.59
184,CH03,57.21,65.48,0.0,61.23
185,CH04A,63.04,66.12,0.0,64.68
186,CH05,55.16,65.67,0.0,60.14
187,CP011,46.17,50.71,0.0,48.58
188,CP012,53.23,63.34,42.86,58.59
189,CP01B,50.52,54.58,0.0,52.78
190,CP02,46.21,51.19,50.0,48.63
191,CP04A,22.22,0.0,0.0,18.18
192,CP04B,18.75,30.56,0.0,26.92
193,CP051,42.2,55.03,16.67,48.8
194,CP05B,42.42,47.87,0.0,45.62
195,CP06A,25.38,33.24,0.0,29.43
196,CP07B,25.0,33.33,0.0,25.0
197,CP07C,10.4,22.44,0.0,16.9
198,CP07D,22.75,25.97,0.0,24.49
199,CP07E,14.29,29.47,0.0,23.42
200,CP07F,18.99,28.67,0.0,25.11
201,CP081,13.14,20.69,0.0,17.54
202,CP083,4.9,11.49,0.0,8.22
203,CP084,50.0,0.0,0.0,25.0
204,CP08A,17.25,23.28,0.0,20.71
205,EP01A,45.16,55.3,25.0,50.17
206,EP01B,39.32,50.14,15.38,45.07
207,EP02A,30.82,44.82,0.0,38.57
208,EP02B,53.75,64.4,50.0,58.92
209,EP02C,50.85,50.79,0.0,50.71
210,EP02D,46.73,54.35,0.0,50.39
211,EP02E,33.05,43.97,60.0,39.24
212,EP03A,46.72,58.28,33.33,53.03
213,EP03B,57.12,69.13,0.0,63.45
214,EP04A,38.19,47.13,19.05,43.16
215,EP04B,47.51,57.67,40.0,53.51
216,FA01A,47.09,60.76,33.33,54.64
217,FA01B,47.67,61.67,30.0,55.65
218,FA01C,46.93,58.12,0.0,53.49
219,HP01,45.38,52.81,28.57,49.08
220,JC01,59.24,59.93,61.76,59.6
221,JC02,51.88,57.92,35.71,55.11
222,JC03A,61.32,65.91,80.0,63.83
223,JC03B,55.83,61.61,66.67,58.86
224,JC04A,60.36,61.28,63.64,60.84
225,JC04B,57.02,54.84,0.0,55.6
226,JC05,57.49,59.38,70.0,58.54
227,JC06,54.2,53.37,42.86,53.73
228,JC07,56.87,59.52,60.0,58.28
229,JC08,61.27,64.93,33.33,63.04
230,JC09,56.08,59.26,44.44,57.74
231,JC10,53.64,58.02,83.33,56.1
232,JC11,59.43,58.5,33.33,58.92
233,JC12,66.01,67.26,57.14,66.63
234,JC13A,63.59,63.46,83.33,63.57
235,JC13B,62.24,65.99,0.0,64.14
236,JC14,60.76,59.59,33.33,60.07
237,JC15,54.7,58.57,33.33,56.74
238,JC16,62.6,63.86,66.67,63.27
239,JC18,67.37,67.44,75.0,67.41
240,JC19,60.29,61.7,54.55,61.02
241,ML011,61.76,65.34,75.0,63.62
242,ML012,59.38,64.08,33.33,61.69
243,ML01B,64.86,71.64,0.0,68.09
244,ML021,64.97,65.37,66.67,65.18
245,ML022,50.37,58.21,0.0,54.28
246,ML023,63.17,62.65,50.0,62.87
247,ML024,52.63,61.9,0.0,57.5
248,ML03,61.65,63.43,37.5,62.49
249,ML04A,62.76,61.24,66.67,61.99
250,ML04B,62.41,66.61,50.0,64.43
251,ML04C,68.18,80.0,0.0,73.81
252,ML05A,52.94,55.17,0.0,54.35
253,ML05B,58.69,60.7,100.0,59.86
254,ML05C,56.64,59.01,44.44,57.87
255,ML06A,39.5,47.47,50.0,43.88
256,ML06B,52.68,56.67,66.67,54.91
257,ML071,67.24,60.78,100.0,64.55
258,ML072,60.84,65.54,100.0,63.26
259,ML07A,61.03,59.69,0.0,60.28
260,MP01,62.81,65.89,0.0,64.4
261,PA01,40.39,54.53,66.67,48.49
262,RW01,65.0,66.88,33.33,65.99
263,RW02,65.53,64.74,60.0,65.1
264,RW03,52.31,56.28,58.33,54.47
265,RW04,68.14,69.85,45.45,68.87
266,RW05,43.67,47.49,75.0,45.79
267,RW06,60.72,61.7,62.5,61.23
268,RW07A,33.42,40.77,25.0,37.44
269,RW07B,47.89,53.08,33.33,50.35
270,RW08,60.87,61.77,66.67,61.38
271,RW09,64.28,67.5,40.0,65.87
272,RW10,66.65,66.38,33.33,66.42
273,RW11A,54.79,59.81,80.0,57.56
274,RW12,65.27,67.15,58.33,66.25
275,RW13,61.62,64.56,62.5,63.14
276,RW16,62.59,65.0,50.0,63.77
277,RW17,54.27,58.36,36.36,56.38
278,RW19,65.86,66.73,60.0,66.3
279,RW20,66.2,66.64,100.0,66.44
280,RW21,61.18,63.72,66.67,62.52
281,RW22A,46.08,52.18,28.57,49.43
282,SC01A,71.43,50.0,0.0,57.14
283,SC01B,67.77,75.92,50.0,72.31
284,SC01C,61.52,76.67,33.33,69.69
285,SC01D,36.8,50.22,0.0,45.43
286,SC02,65.25,77.71,100.0,72.33
287,SC04,58.62,64.07,0.0,61.45
288,SC05A,47.0,65.02,0.0,57.37
289,SC05B,57.52,67.3,83.33,63.24
290,SC05D,53.16,65.81,62.5,60.5
291,SC05E,61.59,69.68,100.0,66.31
292,SC07A,54.67,66.18,36.36,61.16
293,SC07C,21.43,17.65,0.0,19.35
294,SC08B,46.69,62.25,25.0,55.47
295,SC08C,48.0,74.55,0.0,66.25
296,SC08D,48.4,64.63,0.0,57.06
297,SC08E,44.14,59.24,0.0,52.5
298,SC08F,37.11,55.28,0.0,47.64
299,SC08G,0.0,100.0,0.0,15.38
300,SC08H,0.0,100.0,0.0,16.67
301,SC09A,39.66,50.79,0.0,46.31
302,SC09B,51.02,65.11,100.0,59.05
303,SC09C,39.71,55.76,0.0,48.64
304,SC10,27.77,38.54,0.0,33.71
305,SC11A,42.6,60.78,33.33,52.83
306,SC11B,46.24,60.76,20.0,54.18
307,SC13,55.16,66.38,20.0,61.42
308,SC14A,34.56,44.87,0.0,40.32
309,SC14B,8.15,7.36,0.0,7.91
310,SC15,57.21,67.17,27.27,62.93
311,SC16A,58.09,68.91,50.0,64.28
312,SC16B,60.0,30.0,0.0,40.0
313,SC17A,64.0,58.14,0.0,60.29
314,SC17B,0.0,0.0,0.0,0.0
315,SC17C,47.28,59.29,100.0,54.13
316,SC18A,46.56,61.22,100.0,56.53
317,SC18B,59.93,70.84,0.0,65.86
318,SC18C,61.97,74.21,33.33,68.68
319,SC19A,54.95,70.54,0.0,63.55
320,SC19B,42.61,54.49,50.0,49.14
321,SC20,65.81,74.79,50.0,70.77
322,SC211,52.09,62.35,33.33,57.98
323,SC212,44.35,57.15,11.11,51.77
324,SC23A,42.9,55.76,0.0,50.23
325,SC23B,44.3,61.11,200.0,53.97
326,SC23C,43.67,59.32,66.67,52.7
327,SC27,47.68,60.79,25.0,54.91
328,SC29A,41.99,58.75,28.57,51.13
329,SC30A,65.45,62.77,0.0,63.76
330,SC30B,42.18,52.04,0.0,47.65
331,SS01,66.94,68.13,50.0,67.53
332,SS02A,59.62,60.27,50.0,59.94
333,SS02B,50.95,57.28,66.67,54.66
334,SS03,62.06,66.2,100.0,64.33
335,SS04,54.41,57.57,28.57,56.05
336,SS05,73.66,73.2,0.0,73.38
337,SS06,71.13,72.31,40.0,71.64
338,SS07A,65.56,65.21,50.0,65.32
339,SS07B,59.03,64.24,0.0,61.68
340,SS07C,48.79,51.54,28.57,50.29
341,SS08A,47.5,55.1,33.33,51.42
342,SS08B,60.12,65.52,0.0,62.97
343,SS08C,55.12,54.2,0.0,54.58
344,SS08D,48.36,56.86,57.14,52.93
345,SS09A,66.71,68.86,42.86,67.78
346,SS09B,68.29,69.47,71.43,68.89
347,SS11A,51.27,55.73,40.0,53.61
348,SS11B,47.38,51.42,20.0,49.27
349,SS11C,45.64,51.32,0.0,48.5
350,SS11D,65.41,64.56,0.0,64.96
351,SS12,61.7,62.32,36.36,61.93
352,SS13A,54.91,60.51,71.43,57.94
353,SS13B,53.49,56.83,33.33,55.29
354,SS14,72.88,70.6,50.0,71.64
355,SS15A,35.39,43.84,25.0,40.13
356,SS15B,47.02,51.95,66.67,49.89
357,SS16,68.76,74.34,50.0,71.53
358,SS17,57.71,59.36,66.67,58.62
359,SS18A,71.38,65.63,0.0,68.22
360,SS18B,64.23,65.57,0.0,64.9
361,SS19A,44.94,49.71,69.23,47.61
362,SS19B,51.01,52.67,0.0,51.84
363,SS20,45.51,53.53,16.67,49.53
364,SS22,52.59,52.19,50.0,52.36
365,SS26,39.77,45.77,36.36,43.13
366,SS29A,53.13,56.53,55.56,54.93
367,SS31,62.54,68.24,0.0,65.54
368,UC01A,33.43,47.36,30.0,41.58
369,UC01B,40.57,49.26,50.0,45.88
370,UC01D,0.0,25.0,0.0,16.67
371,UC01E,64.0,77.91,0.0,71.88
372,UC02A,42.51,59.23,25.0,52.43
373,UC02B,43.75,44.44,0.0,44.12
374,UC031,37.04,48.73,0.0,44.3
375,UC032,50.88,66.67,0.0,60.73
376,TOTAL,49.78,56.73,38.47,53.41
