,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
89,71.01,73.72,100.0,72.43
90,70.47,73.37,0.0,71.96
91,60.32,60.98,50.0,60.66
92,49.39,52.9,0.0,51.09
93,36.73,53.31,0.0,46.72
94,66.09,68.24,0.0,67.22
95,40.37,55.11,,49.09
96,70.83,78.14,,74.6
97,44.94,59.71,0.0,53.05
98,53.09,64.24,0.0,58.77
99,39.83,57.87,0.0,50.43
100,45.45,59.24,0.0,52.71
101,52.72,60.75,0.0,57.11
102,53.46,67.32,,61.22
103,65.73,69.46,,67.82
104,72.34,72.21,,72.27
105,37.36,49.87,0.0,44.6
106,43.9,46.74,50.0,45.42
107,51.03,60.8,0.0,56.42
108,43.7,58.05,0.0,51.26
109,32.28,42.29,0.0,37.69
110,34.77,48.58,0.0,42.23
111,52.52,63.41,,58.36
112,70.69,73.16,,71.96
113,55.78,71.72,0.0,64.3
114,69.94,71.36,,70.69
115,58.39,68.42,,63.5
116,67.71,69.72,,68.75
117,53.57,68.08,,61.62
118,51.84,60.47,100.0,56.95
119,31.41,49.03,50.0,42.02
120,47.94,55.08,0.0,52.02
121,46.5,55.9,,51.6
122,67.29,73.05,50.0,70.35
123,49.24,54.54,,51.98
124,69.96,70.76,,70.36
125,46.03,51.3,0.0,48.48
126,67.92,76.23,,72.37
127,44.19,59.94,25.0,53.08
128,35.5,50.15,25.0,43.4
129,49.77,59.0,,55.19
130,49.95,63.8,0.0,57.56
131,64.52,74.42,,70.89
132,41.29,46.99,0.0,44.32
133,63.52,70.16,0.0,67.27
134,52.37,62.12,,57.56
135,36.49,49.5,50.0,44.0
136,38.58,53.35,0.0,46.75
137,41.5,61.92,0.0,54.06
138,49.69,65.21,0.0,58.47
139,49.93,66.48,0.0,58.97
140,69.06,73.6,,71.57
141,35.98,46.38,0.0,41.81
142,49.92,64.35,,57.97
143,36.64,50.37,0.0,44.3
144,41.87,61.53,20.0,52.95
145,60.55,69.28,,65.42
146,52.34,61.22,0.0,56.93
147,44.69,59.27,0.0,53.03
148,54.89,67.26,0.0,61.63
149,49.91,63.49,,57.61
150,73.19,76.23,0.0,74.86
151,74.15,77.55,,75.93
152,64.55,64.72,50.0,64.63
153,47.9,61.37,,55.45
154,53.98,64.52,,59.93
155,56.58,59.36,33.33,58.01
156,61.89,67.5,,64.58
157,55.84,68.74,0.0,62.78
158,71.66,72.69,100.0,72.21
159,28.93,33.21,0.0,31.32
160,29.01,39.24,0.0,34.8
161,55.87,68.0,,62.81
162,31.26,47.7,0.0,41.01
163,58.43,70.73,0.0,65.27
164,67.94,70.59,,69.37
165,47.39,63.14,0.0,56.74
166,38.24,52.1,,45.89
167,42.62,51.18,,47.64
168,37.62,56.67,0.0,48.08
169,55.84,68.54,0.0,62.86
170,53.78,65.79,0.0,60.32
171,44.3,57.32,0.0,51.47
172,51.79,64.67,0.0,58.81
173,44.9,59.26,,53.86
174,49.96,64.46,,57.79
175,39.98,63.31,100.0,52.24
176,64.17,69.2,,66.85
177,70.19,71.06,0.0,70.61
178,56.63,63.75,,60.61
179,60.04,67.01,0.0,63.82
180,40.69,57.38,0.0,49.75
181,60.13,69.66,,65.45
182,42.03,54.6,0.0,49.41
183,70.59,75.22,50.0,73.1
184,43.03,59.25,0.0,52.13
185,55.97,60.72,,58.48
186,53.78,58.17,100.0,56.06
187,36.32,49.11,25.0,43.42
188,70.12,71.71,,70.95
189,58.43,68.44,0.0,63.87
190,56.82,66.79,0.0,62.41
191,52.37,61.13,18.63,57.13
