COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
OCONEE,27.92,45.82,37.36,0.00,35.00,57.64,40.97,55.14
OGLETHORPE,45.00,42.95,23.73,66.67,30.77,50.07,28.30,47.56
PAULDING,26.34,43.84,25.88,19.05,30.13,43.91,31.74,42.38
PEACH,30.56,38.39,20.70,31.58,26.58,50.76,25.05,43.61
PICKENS,24.19,26.62,34.36,20.00,24.07,48.57,25.82,47.41
PIERCE,9.52,29.54,10.91,50.00,16.00,41.03,20.06,38.31
PIKE,42.31,47.83,25.64,0.00,32.50,51.51,36.60,50.07
POLK,19.15,35.49,9.59,33.33,21.25,40.15,28.27,38.60
PULASKI,15.00,36.42,39.13,0.00,37.50,48.87,21.36,44.66
PUTNAM,18.33,39.10,16.16,33.33,21.43,54.02,33.69,49.30
QUITMAN,25.00,38.87,50.00,0.00,0.00,46.12,34.38,42.35
RABUN,17.65,35.85,17.48,0.00,20.00,52.60,48.43,51.83
RANDOLPH,33.33,45.47,0.00,0.00,44.44,62.18,32.93,52.16
RICHMOND,21.91,39.34,18.50,18.57,21.54,43.63,23.21,38.82
ROCKDALE,27.19,48.17,20.66,34.38,27.96,51.94,35.37,47.42
SCHLEY,42.86,45.44,10.53,0.00,16.67,52.74,23.33,50.25
SCREVEN,36.00,37.41,36.36,0.00,37.50,47.55,26.29,42.83
SEMINOLE,16.67,31.05,13.33,0.00,15.79,44.50,28.00,39.29
SPALDING,24.08,37.16,22.43,35.29,21.36,48.28,24.35,43.29
STEPHENS,16.13,24.64,15.12,20.00,18.00,36.40,20.60,34.47
STEWART,11.11,39.24,23.08,50.00,22.22,47.94,21.43,41.98
SUMTER,22.08,42.06,11.97,0.00,27.78,52.60,25.80,46.35
TALBOT,33.33,46.89,0.00,100.0,53.85,51.44,37.60,48.36
TALIAFERRO,100.0,42.54,0.00,0.00,28.57,54.32,32.26,46.44
TATTNALL,24.24,35.74,6.61,0.00,21.15,46.14,21.49,41.95
TAYLOR,20.00,43.25,23.53,0.00,30.00,50.42,29.47,46.57
TELFAIR,23.53,43.14,14.71,50.00,33.33,50.09,29.10,47.04
TERRELL,33.33,46.27,42.11,0.00,36.84,61.36,47.67,51.94
THOMAS,20.75,34.08,14.52,28.57,19.01,43.08,28.01,39.05
TIFT,11.88,27.21,11.04,0.00,24.14,46.38,23.53,39.24
TOOMBS,22.22,28.99,7.38,0.00,20.78,45.18,24.42,39.59
TOWNS,12.50,18.75,14.29,50.00,16.67,51.21,46.20,50.73
TREUTLEN,0.00,35.19,18.18,50.00,50.00,40.81,18.42,38.49
TROUP,15.67,33.79,20.44,37.50,16.13,43.28,25.54,39.07
TURNER,10.53,38.72,3.45,0.00,7.14,48.95,21.85,43.92
TWIGGS,23.08,52.40,20.00,0.00,26.32,46.24,36.78,48.33
UNION,42.11,23.08,31.43,33.33,30.00,51.69,46.44,51.28
UPSON,14.29,42.15,16.28,33.33,22.41,48.81,21.45,45.46
WALKER,31.08,27.79,14.08,14.29,17.33,34.19,25.14,33.17
WALTON,23.68,38.12,22.25,18.18,28.26,51.77,34.96,47.13
WARE,14.61,28.61,13.16,0.00,15.94,41.69,14.65,36.78
WARREN,50.00,37.66,20.00,50.00,22.22,53.35,13.11,43.24
WASHINGTON,21.74,45.46,36.67,66.67,16.13,56.77,27.73,50.37
WAYNE,10.34,32.61,15.13,33.33,23.08,43.19,22.44,39.51
WEBSTER,0.00,44.11,0.00,0.00,12.50,57.89,50.00,51.17
WHEELER,0.00,45.71,27.27,0.00,30.00,52.68,32.76,50.03
WHITE,27.66,28.64,22.55,0.00,33.33,49.70,33.74,48.71
WHITFIELD,14.97,32.47,12.40,18.75,17.57,41.68,19.24,36.00
WILCOX,25.00,34.60,6.25,50.00,37.50,47.56,33.33,43.18
WILKES,36.36,45.33,5.00,50.00,30.00,53.76,26.53,49.70
WILKINSON,18.18,52.87,22.22,100.0,12.50,55.84,34.34,54.00
WORTH,32.14,32.95,14.89,33.33,32.20,46.85,26.64,42.46
TOTAL,22.40,40.60,21.84,24.28,28.37,47.46,29.43,42.90
