COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
UNION,21.49,18.18,17.65,19.73
UPSON,15.96,13.23,13.33,14.45
WALKER,8.19,6.55,0.00,7.31
WALTON,17.63,14.92,9.09,16.18
WARE,12.64,10.19,0.00,11.27
WARREN,11.78,10.79,0.00,11.23
WASHINGTON,11.41,9.45,0.00,10.30
WAYNE,17.10,14.40,0.00,15.62
WEBSTER,13.06,12.47,100.0,12.80
WHEELER,15.47,12.27,0.00,13.78
WHITE,22.47,20.93,0.00,21.66
WHITFIELD,9.86,7.84,2.00,8.79
WILCOX,17.62,14.96,0.00,16.18
WILKES,15.68,13.57,0.00,14.52
WILKINSON,19.12,18.18,0.00,18.61
WORTH,15.44,12.45,0.00,13.84
TOTAL,11.79,10.73,3.68,11.20
