,ASIA-PI FEMALE,ASIA-PI MALE,ASIA-PI UNKNOWN,BLACK FEMALE,BLACK MALE,BLACK UNKNOWN,CONGRESSIONAL DISTRICT,COUNTY NAME,HISP-LT FEMALE,HISP-LT MALE,HISP-LT UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,NATIVE-AM UNKNOWN,OTHER FEMALE,OTHER MALE,OTHER UNKNOWN,TOTAL,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,WHITE FEMALE,WHITE MALE,WHITE UNKNOWN
10,624.0,569.0,4.0,4384.0,3348.0,4.0,,HALL,4392.0,4071.0,27.0,50.0,56.0,0.0,484.0,446.0,0.0,115323.0,68.0,7364.0,8124.0,42953.0,38277.0,78.0
10,2.0,4.0,0.0,2279.0,1844.0,1.0,,HANCOCK,3.0,10.0,0.0,0.0,2.0,0.0,13.0,8.0,0.0,5760.0,1.0,121.0,128.0,672.0,672.0,0.0
10,40.0,40.0,0.0,411.0,330.0,0.0,,HARALSON,36.0,33.0,0.0,11.0,10.0,0.0,30.0,30.0,0.0,18103.0,4.0,520.0,592.0,8482.0,7523.0,11.0
10,99.0,55.0,1.0,1916.0,1583.0,3.0,,HARRIS,186.0,144.0,1.0,9.0,8.0,0.0,81.0,80.0,0.0,23789.0,7.0,741.0,762.0,9388.0,8718.0,7.0
10,59.0,47.0,0.0,1356.0,965.0,0.0,,HART,46.0,49.0,0.0,6.0,1.0,0.0,11.0,25.0,0.0,15054.0,3.0,378.0,399.0,6178.0,5526.0,5.0
10,12.0,11.0,0.0,387.0,305.0,0.0,,HEARD,18.0,17.0,0.0,7.0,5.0,0.0,14.0,8.0,0.0,6806.0,1.0,152.0,228.0,2973.0,2665.0,3.0
10,1430.0,1244.0,6.0,37361.0,27294.0,27.0,,HENRY,2308.0,1851.0,2.0,57.0,59.0,0.0,2033.0,1725.0,5.0,158487.0,60.0,8273.0,7386.0,35255.0,32074.0,37.0
10,990.0,714.0,2.0,16672.0,11450.0,62.0,,HOUSTON,1164.0,835.0,2.0,59.0,46.0,2.0,564.0,411.0,6.0,97878.0,78.0,3788.0,4096.0,30017.0,26878.0,42.0
10,8.0,7.0,0.0,793.0,524.0,0.0,,IRWIN,20.0,27.0,0.0,0.0,1.0,0.0,8.0,5.0,0.0,5426.0,2.0,51.0,78.0,2043.0,1857.0,2.0
10,248.0,228.0,0.0,1396.0,1145.0,1.0,,JACKSON,565.0,492.0,1.0,12.0,16.0,0.0,131.0,120.0,0.0,43566.0,16.0,1919.0,2162.0,18431.0,16662.0,21.0
10,13.0,8.0,0.0,985.0,756.0,0.0,,JASPER,45.0,47.0,0.0,2.0,0.0,0.0,11.0,11.0,0.0,9186.0,0.0,139.0,142.0,3596.0,3428.0,3.0
10,8.0,9.0,0.0,717.0,527.0,0.0,,JEFF DAVIS,103.0,76.0,0.0,2.0,2.0,0.0,13.0,5.0,0.0,8050.0,0.0,150.0,169.0,3318.0,2947.0,4.0
10,9.0,11.0,0.0,3241.0,2238.0,7.0,,JEFFERSON,17.0,12.0,0.0,2.0,3.0,0.0,17.0,13.0,1.0,10644.0,6.0,363.0,403.0,2278.0,2021.0,2.0
10,4.0,5.0,0.0,1063.0,744.0,1.0,,JENKINS,4.0,7.0,0.0,1.0,3.0,0.0,7.0,4.0,0.0,4992.0,1.0,150.0,225.0,1453.0,1319.0,1.0
10,5.0,8.0,0.0,913.0,640.0,0.0,,JOHNSON,6.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,5163.0,0.0,63.0,68.0,1812.0,1640.0,2.0
10,45.0,25.0,1.0,2642.0,1968.0,2.0,,JONES,56.0,42.0,0.0,11.0,8.0,0.0,25.0,26.0,1.0,18474.0,9.0,257.0,327.0,6837.0,6188.0,4.0
10,17.0,15.0,0.0,1609.0,1227.0,0.0,,LAMAR,37.0,28.0,0.0,4.0,1.0,0.0,33.0,30.0,0.0,11648.0,1.0,421.0,459.0,4110.0,3654.0,2.0
10,19.0,14.0,0.0,636.0,520.0,0.0,,LANIER,54.0,35.0,0.0,6.0,2.0,0.0,23.0,13.0,0.0,5453.0,3.0,187.0,195.0,2041.0,1704.0,1.0
10,94.0,79.0,1.0,5726.0,3817.0,4.0,,LAURENS,94.0,99.0,0.0,15.0,13.0,0.0,54.0,49.0,0.0,28514.0,3.0,606.0,673.0,9199.0,7983.0,5.0
10,129.0,124.0,1.0,2231.0,1614.0,10.0,,LEE,129.0,104.0,0.0,6.0,7.0,0.0,57.0,79.0,2.0,22100.0,12.0,759.0,815.0,8394.0,7612.0,15.0
10,322.0,210.0,1.0,8754.0,6276.0,11.0,,LIBERTY,1071.0,833.0,1.0,37.0,15.0,0.0,354.0,231.0,1.0,34599.0,10.0,2206.0,2379.0,6407.0,5476.0,4.0
10,12.0,6.0,0.0,901.0,697.0,0.0,,LINCOLN,7.0,7.0,0.0,6.0,5.0,0.0,8.0,7.0,0.0,5880.0,1.0,180.0,203.0,1975.0,1864.0,1.0
10,54.0,25.0,0.0,1129.0,871.0,1.0,,LONG,204.0,162.0,0.0,9.0,6.0,0.0,58.0,41.0,0.0,8341.0,4.0,555.0,578.0,2483.0,2158.0,3.0
10,424.0,296.0,1.0,14044.0,9975.0,8.0,,LOWNDES,770.0,625.0,0.0,62.0,62.0,0.0,577.0,470.0,1.0,69944.0,27.0,1511.0,1624.0,20933.0,18518.0,16.0
10,48.0,35.0,0.0,85.0,82.0,0.0,,LUMPKIN,151.0,125.0,1.0,34.0,34.0,0.0,54.0,43.0,0.0,20056.0,6.0,719.0,873.0,9322.0,8441.0,3.0
10,24.0,19.0,0.0,3156.0,2072.0,1.0,,MCDUFFIE,58.0,31.0,1.0,6.0,1.0,0.0,20.0,14.0,0.0,14147.0,5.0,382.0,452.0,4228.0,3675.0,2.0
10,11.0,19.0,0.0,1519.0,1217.0,0.0,,MCINTOSH,43.0,24.0,0.0,3.0,2.0,0.0,30.0,17.0,0.0,9226.0,1.0,224.0,283.0,3014.0,2819.0,0.0
10,24.0,33.0,0.0,2368.0,1705.0,0.0,,MACON,37.0,16.0,0.0,0.0,1.0,0.0,15.0,7.0,0.0,6714.0,2.0,100.0,127.0,1178.0,1101.0,0.0
10,63.0,47.0,0.0,812.0,638.0,0.0,,MADISON,127.0,84.0,0.0,7.0,5.0,0.0,39.0,43.0,0.0,18035.0,11.0,780.0,838.0,7670.0,6857.0,14.0
10,20.0,16.0,0.0,872.0,681.0,0.0,,MARION,35.0,36.0,0.0,4.0,3.0,0.0,12.0,13.0,0.0,4804.0,0.0,79.0,102.0,1541.0,1389.0,1.0
10,12.0,14.0,0.0,2959.0,2179.0,0.0,,MERIWETHER,34.0,25.0,0.0,7.0,4.0,0.0,34.0,18.0,0.0,14164.0,2.0,444.0,509.0,4184.0,3735.0,4.0
10,3.0,2.0,0.0,616.0,421.0,0.0,,MILLER,12.0,9.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,4012.0,0.0,53.0,52.0,1490.0,1343.0,0.0
