,COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
54,CRISP,4.0,188.0,214.0,0.0,18.0,25.0,0.0,0.0,5.0,0.0,42.0,33.0,0.0,38.0,39.0,1.0,3551.0,3001.0,4.0,3034.0,1956.0,12153.0
55,DADE,0.0,616.0,711.0,2.0,16.0,18.0,0.0,4.0,10.0,1.0,30.0,28.0,0.0,20.0,20.0,5.0,4726.0,4778.0,0.0,25.0,28.0,11038.0
56,DAWSON,12.0,833.0,937.0,0.0,27.0,44.0,0.0,5.0,14.0,0.0,103.0,89.0,0.0,50.0,37.0,4.0,8379.0,7679.0,0.0,32.0,45.0,18290.0
57,DECATUR,10.0,280.0,374.0,0.0,40.0,35.0,0.0,8.0,2.0,0.0,117.0,93.0,0.0,30.0,18.0,5.0,4944.0,4165.0,3.0,3683.0,2367.0,16174.0
58,DEKALB,137.0,23785.0,24278.0,4.0,5127.0,3903.0,0.0,318.0,289.0,4.0,6012.0,5035.0,4.0,7094.0,6298.0,5.0,88129.0,78441.0,28.0,155751.0,117133.0,521775.0
59,DODGE,1.0,197.0,213.0,0.0,15.0,9.0,0.0,2.0,2.0,0.0,29.0,25.0,0.0,18.0,12.0,4.0,3896.0,3519.0,1.0,1628.0,1054.0,10625.0
60,DOOLY,1.0,96.0,103.0,0.0,10.0,8.0,0.0,2.0,0.0,0.0,47.0,36.0,0.0,12.0,16.0,0.0,1432.0,1285.0,1.0,1667.0,1168.0,5884.0
61,DOUGHERTY,150.0,2085.0,2377.0,7.0,183.0,156.0,0.0,26.0,17.0,5.0,222.0,178.0,1.0,132.0,124.0,26.0,9040.0,7687.0,442.0,23110.0,16109.0,62077.0
62,DOUGLAS,62.0,4667.0,4424.0,4.0,747.0,504.0,0.0,56.0,52.0,3.0,1505.0,1214.0,1.0,468.0,391.0,23.0,20907.0,18522.0,37.0,23616.0,16945.0,94148.0
63,EARLY,0.0,86.0,105.0,1.0,10.0,6.0,0.0,1.0,1.0,0.0,13.0,9.0,0.0,10.0,7.0,0.0,1867.0,1656.0,3.0,2140.0,1394.0,7309.0
