COUNTY NAME,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
FORSYTH,5.660,4.180,7.110,9.400,11.80,13.99,15.76,17.59,20.95,31.60,15.35
FRANKLIN,12.87,9.680,17.29,18.89,25.13,26.78,28.41,28.57,35.18,40.94,27.64
FULTON,2.580,2.000,3.520,5.800,7.560,8.860,10.04,12.35,17.25,23.97,9.710
GILMER,11.18,10.64,15.58,18.00,18.94,21.63,23.30,24.41,25.52,32.95,23.91
GLASCOCK,54.44,34.46,63.57,53.95,72.46,65.80,70.17,67.50,74.34,74.04,64.92
GLYNN,4.210,2.960,6.520,9.300,9.940,13.38,14.52,20.60,25.48,33.83,17.67
GORDON,8.720,5.600,10.01,14.85,18.36,19.64,21.35,23.78,25.65,32.77,19.61
GRADY,3.830,2.680,5.040,6.280,9.070,9.160,11.70,12.89,18.47,22.13,12.17
GREENE,13.32,8.500,16.11,23.04,22.74,28.04,29.76,29.71,36.90,44.48,31.49
GWINNETT,1.910,1.260,2.030,2.950,4.050,5.290,6.890,8.970,12.02,17.13,6.580
HABERSHAM,11.76,11.45,16.98,21.50,28.30,31.88,33.76,36.82,41.15,44.87,31.61
HALL,3.500,2.690,4.070,5.760,7.220,9.830,12.21,14.45,18.66,26.08,12.57
HANCOCK,39.11,32.87,36.17,46.27,43.27,51.49,52.33,55.11,59.78,57.85,49.98
HARALSON,9.260,10.23,13.69,15.18,18.16,20.67,23.94,28.72,31.05,40.75,23.68
HARRIS,4.160,2.250,5.490,7.870,8.630,12.32,14.21,17.14,23.61,32.48,16.00
HART,10.88,5.980,9.440,11.43,14.88,19.88,23.86,25.96,30.56,37.01,23.53
HEARD,8.680,5.120,10.04,12.36,17.18,20.13,22.42,24.68,29.56,39.55,21.82
HENRY,3.270,2.270,4.220,6.630,9.140,11.04,13.00,16.03,20.58,26.53,11.90
HOUSTON,2.320,1.540,2.100,3.510,4.800,6.480,8.900,12.27,16.15,23.53,9.210
IRWIN,3.450,3.030,4.040,4.930,6.160,6.980,9.090,12.53,13.70,17.69,9.810
JACKSON,4.210,5.020,6.110,8.800,10.28,12.13,15.22,17.70,25.53,33.04,15.86
JASPER,6.770,4.990,7.450,11.34,15.44,16.67,15.72,17.27,23.12,32.07,17.71
JEFF DAVIS,13.57,12.80,18.74,20.73,25.96,29.08,34.49,38.86,42.76,42.20,29.85
JEFFERSON,11.31,9.420,14.69,20.19,24.26,29.01,35.75,38.10,48.24,47.80,31.53
JENKINS,10.38,13.97,17.07,18.03,23.34,32.01,34.82,33.61,40.20,42.82,29.40
JOHNSON,24.24,22.15,29.68,40.79,42.28,46.47,47.26,50.58,57.29,53.26,43.82
JONES,7.970,7.190,8.060,15.28,18.42,21.61,25.00,29.18,32.95,46.06,24.50
LAMAR,4.580,3.080,4.980,7.660,10.39,12.15,11.88,15.40,19.61,27.70,14.12
LANIER,12.09,11.82,11.46,17.83,20.98,24.21,28.66,33.18,36.25,40.85,25.05
LAURENS,11.91,12.38,20.56,24.20,29.65,34.45,37.90,41.22,48.16,51.90,34.77
LEE,7.790,6.670,12.04,15.55,17.57,19.48,23.28,28.44,33.84,36.59,21.10
LIBERTY,5.660,3.870,5.980,8.270,12.61,16.18,22.55,26.80,31.72,38.15,16.41
LINCOLN,15.94,17.70,16.33,24.05,26.00,31.53,38.95,36.95,46.65,51.05,35.26
LONG,13.64,13.39,15.94,18.43,25.00,29.05,38.78,37.93,47.20,47.48,27.83
LOWNDES,2.610,2.070,3.440,4.840,8.020,9.780,11.16,13.63,19.01,23.75,10.47
LUMPKIN,7.580,6.480,10.44,16.25,17.98,21.96,24.10,26.70,31.83,38.90,23.35
MCDUFFIE,8.050,7.380,9.020,15.81,20.72,23.66,26.45,31.64,41.51,49.08,26.74
MCINTOSH,12.78,12.00,16.19,16.56,21.41,28.19,30.88,33.70,39.81,44.51,30.03
MACON,15.60,14.64,19.15,21.38,30.77,33.20,39.16,45.08,50.90,48.74,34.87
MADISON,12.18,10.23,19.07,23.90,29.15,31.30,33.66,34.94,40.42,47.47,30.71
MARION,15.29,13.85,19.47,23.77,26.20,26.45,33.33,30.86,40.72,40.73,29.06
MERIWETHER,3.880,2.580,5.800,6.880,8.570,11.05,12.38,18.01,21.83,28.05,14.87
MILLER,16.13,16.57,20.71,23.61,28.57,29.91,33.91,36.81,35.00,34.08,28.78
MITCHELL,9.540,7.700,12.46,14.62,19.68,24.22,26.12,32.10,35.06,35.70,23.66
MONROE,11.27,7.520,12.96,20.20,21.46,23.95,27.76,30.63,38.46,46.63,27.79
MONTGOMERY,23.06,18.64,27.49,33.43,36.03,40.61,44.93,46.11,56.88,59.68,42.27
MORGAN,6.730,4.790,7.910,13.08,18.09,18.17,18.96,20.46,25.75,35.51,20.26
MURRAY,13.15,12.45,18.89,25.51,26.09,30.09,33.33,36.96,40.23,43.84,29.65
MUSCOGEE,3.510,3.180,4.710,5.760,8.120,10.81,15.19,19.54,26.14,32.02,13.88
NEWTON,4.470,3.360,5.120,8.740,11.38,12.79,15.13,17.88,22.80,31.37,14.42
OCONEE,11.28,6.350,12.39,17.81,20.96,24.95,28.34,33.15,37.39,43.32,25.73
OGLETHORPE,17.83,13.71,18.93,21.43,27.92,33.18,34.03,37.12,37.52,51.69,33.11
PAULDING,3.460,2.900,4.690,6.370,7.510,9.340,11.12,14.36,18.01,25.55,10.67
PEACH,3.380,3.290,6.550,8.650,12.05,14.13,16.43,20.13,25.69,30.05,15.54
PICKENS,7.700,8.330,10.09,14.63,19.28,21.07,21.84,21.15,25.07,32.61,21.58
PIERCE,12.93,10.15,15.26,23.89,28.80,29.00,29.81,30.37,33.87,40.74,28.02
PIKE,12.16,11.01,18.03,22.50,27.84,28.41,34.16,35.78,39.90,47.92,30.27
POLK,7.740,6.740,11.56,15.38,19.01,22.97,23.49,25.71,30.53,37.24,22.58
PULASKI,18.25,18.06,22.72,27.69,33.33,34.59,43.65,46.93,47.78,52.77,38.51
PUTNAM,10.62,11.22,14.99,21.95,25.62,27.01,26.52,32.74,41.09,47.11,31.50
QUITMAN,19.35,15.74,24.47,30.21,32.95,55.26,40.14,47.06,59.09,61.41,45.51
RABUN,24.77,20.87,28.08,39.51,43.80,38.38,39.31,41.30,43.68,54.50,42.34
RANDOLPH,21.45,20.40,28.62,35.91,43.88,45.21,52.94,58.31,63.64,61.68,47.13
RICHMOND,5.270,4.120,7.030,9.600,15.63,18.63,22.63,27.57,34.80,40.45,19.74
ROCKDALE,5.640,3.340,6.140,10.67,14.62,18.58,21.48,24.46,27.86,31.78,17.94
SCHLEY,25.76,19.07,28.22,32.88,39.45,40.67,40.48,48.28,52.84,57.94,40.90
SCREVEN,7.000,5.270,7.450,9.550,11.82,15.10,16.49,21.61,26.19,28.52,17.10
SEMINOLE,15.21,15.16,21.51,25.13,32.61,36.03,39.25,39.35,42.80,43.40,33.77
SPALDING,6.120,4.880,8.550,12.58,15.80,19.93,21.77,24.94,31.92,37.20,20.92
STEPHENS,9.420,7.150,11.63,16.07,19.27,24.15,25.20,31.74,35.81,42.29,26.12
STEWART,30.55,29.13,33.33,30.00,42.44,48.74,53.11,54.97,64.21,61.76,48.48
SUMTER,11.86,12.05,17.56,23.88,29.28,34.55,39.35,39.15,48.83,45.96,32.23
TALBOT,15.05,13.75,12.00,19.42,24.34,26.65,31.05,35.66,40.54,44.16,30.58
TALIAFERRO,41.86,28.75,44.44,38.46,42.11,65.12,65.29,65.22,78.63,76.58,61.11
TATTNALL,12.58,10.62,16.83,23.39,22.22,31.81,29.64,33.83,41.88,43.92,29.24
TAYLOR,13.65,13.62,20.86,25.88,29.44,29.54,34.82,35.38,43.15,46.39,32.20
TELFAIR,8.490,7.160,10.74,12.87,15.96,17.56,22.18,24.43,30.71,33.36,21.57
TERRELL,19.54,16.85,18.84,29.05,28.18,34.20,37.52,42.60,45.17,53.32,35.64
THOMAS,2.190,1.230,2.700,3.560,4.910,6.970,8.680,11.07,15.22,19.96,9.640
TIFT,5.910,5.360,10.73,15.61,19.00,23.25,22.26,26.62,31.82,36.30,21.29
TOOMBS,13.63,10.55,16.19,20.97,25.25,30.08,29.41,36.59,40.37,43.92,29.06
TOWNS,10.90,16.82,18.60,23.87,32.38,36.96,36.61,33.42,41.23,45.02,35.34
TREUTLEN,18.98,18.21,22.49,31.64,34.71,35.20,43.27,39.73,45.98,50.56,36.60
TROUP,6.140,4.140,8.270,12.42,16.55,19.93,20.09,22.24,27.20,34.48,18.87
TURNER,5.240,1.810,4.710,6.710,6.610,10.18,14.69,15.23,16.49,27.50,13.33
TWIGGS,15.41,18.65,22.43,26.52,34.35,35.09,38.77,40.35,48.19,53.18,36.87
UNION,19.35,15.62,20.82,27.30,27.58,31.63,30.16,35.34,36.57,42.59,34.38
UPSON,9.670,7.390,14.34,22.06,22.15,25.43,29.75,33.68,39.99,44.38,28.28
WALKER,5.090,4.050,6.760,9.470,12.60,16.24,17.05,19.87,24.08,26.88,16.30
WALTON,6.700,5.630,9.110,12.29,15.15,15.90,16.93,21.91,28.22,34.36,18.38
WARE,10.52,8.380,12.81,18.66,23.88,27.95,31.25,32.98,38.13,43.72,27.98
WARREN,13.62,11.11,12.16,23.05,29.39,34.98,37.94,37.88,46.29,54.10,34.73
WASHINGTON,20.19,15.85,24.18,36.10,37.78,42.48,43.31,50.63,56.32,54.19,40.77
WAYNE,10.96,9.630,15.72,18.98,26.32,31.19,33.76,37.80,44.56,48.37,30.58
WEBSTER,18.52,18.52,22.22,28.18,32.46,44.70,45.16,60.39,45.18,57.59,41.53
WHEELER,17.33,14.67,19.80,25.82,28.57,35.19,34.41,40.77,51.44,46.13,34.86
WHITE,11.77,8.740,15.72,21.72,26.79,24.15,25.50,28.06,31.06,38.66,26.98
WHITFIELD,7.380,5.440,10.42,15.94,18.50,19.34,23.01,26.72,33.50,39.07,21.74
WILCOX,18.44,16.47,28.40,34.64,31.96,39.00,41.53,45.15,53.42,51.07,38.53
WILKES,24.66,20.16,28.71,35.29,45.28,52.69,51.94,54.75,56.44,58.34,46.84
WILKINSON,16.90,14.37,17.52,26.75,23.37,32.02,35.58,42.03,46.24,47.33,33.34
WORTH,10.34,10.65,14.74,20.66,27.46,26.55,26.37,34.02,36.57,43.80,27.97
TOTAL,5.130,4.020,6.340,9.100,11.76,14.15,16.73,20.32,25.65,32.36,15.90
