COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
FULTON,8.870,10.45,4.110,9.710
GILMER,24.46,23.41,0.00,23.91
GLASCOCK,64.28,65.50,0.00,64.92
GLYNN,18.45,17.06,4.650,17.67
GORDON,21.05,18.34,0.00,19.61
GRADY,12.39,11.98,33.33,12.17
GREENE,32.00,31.07,0.00,31.49
GWINNETT,6.770,6.420,5.260,6.580
HABERSHAM,31.20,31.99,14.29,31.61
HALL,13.60,11.67,5.080,12.57
HANCOCK,45.58,53.78,0.00,49.98
HARALSON,25.04,22.51,14.29,23.68
HARRIS,16.33,15.70,40.00,16.00
HART,25.39,21.95,20.00,23.53
HEARD,21.66,21.92,100.0,21.82
HENRY,11.70,12.07,5.000,11.90
HOUSTON,9.720,8.790,2.040,9.210
IRWIN,10.37,9.300,100.0,9.810
JACKSON,16.80,15.02,12.50,15.86
JASPER,17.38,18.01,0.00,17.71
JEFF DAVIS,31.26,28.67,0.00,29.85
JEFFERSON,29.95,32.77,12.50,31.53
JENKINS,27.99,30.57,100.0,29.40
JOHNSON,43.55,44.05,0.00,43.82
JONES,25.57,23.60,0.00,24.50
LAMAR,14.65,13.67,0.00,14.12
LANIER,25.95,24.32,0.00,25.05
LAURENS,34.96,34.63,14.29,34.77
LEE,21.33,20.91,0.00,21.10
LIBERTY,17.41,15.64,11.76,16.41
LINCOLN,33.13,37.22,0.00,35.26
LONG,29.14,26.76,20.00,27.83
LOWNDES,10.57,10.40,4.760,10.47
LUMPKIN,23.99,22.78,25.00,23.35
MCDUFFIE,25.99,27.35,0.00,26.74
MCINTOSH,28.30,31.57,0.00,30.03
MACON,32.40,36.86,0.00,34.87
MADISON,32.35,29.26,33.33,30.71
MARION,28.77,29.31,0.00,29.06
MERIWETHER,15.12,14.67,0.00,14.87
MILLER,28.07,29.36,0.00,28.78
MITCHELL,21.81,25.10,0.00,23.66
MONROE,28.35,27.31,8.330,27.79
MONTGOMERY,42.51,42.08,0.00,42.27
MORGAN,19.91,20.57,0.00,20.26
MURRAY,30.84,28.55,0.00,29.65
MUSCOGEE,13.26,14.36,5.660,13.88
NEWTON,14.16,14.64,0.00,14.42
OCONEE,26.29,25.30,2.440,25.73
OGLETHORPE,32.94,33.25,50.00,33.11
PAULDING,10.81,10.55,4.000,10.67
PEACH,15.37,15.71,0.00,15.54
PICKENS,22.92,20.39,0.00,21.58
PIERCE,29.56,26.71,33.33,28.02
PIKE,30.39,30.14,100.0,30.27
POLK,22.86,22.32,40.00,22.58
PULASKI,40.35,36.96,0.00,38.51
PUTNAM,31.27,31.74,0.00,31.50
QUITMAN,47.19,44.19,0.00,45.51
RABUN,42.60,42.16,10.00,42.34
RANDOLPH,44.64,49.05,0.00,47.13
RICHMOND,18.97,20.35,10.00,19.74
ROCKDALE,16.86,18.82,5.880,17.94
SCHLEY,41.51,40.41,0.00,40.90
SCREVEN,16.43,17.67,0.00,17.10
SEMINOLE,32.89,34.47,100.0,33.77
SPALDING,21.04,20.82,18.18,20.92
STEPHENS,27.07,25.33,0.00,26.12
STEWART,44.06,52.28,100.0,48.48
SUMTER,32.13,32.32,0.00,32.23
TALBOT,27.38,33.28,0.00,30.58
TALIAFERRO,58.73,63.38,100.0,61.11
TATTNALL,30.07,28.59,10.00,29.24
TAYLOR,29.91,34.10,0.00,32.20
TELFAIR,21.83,21.36,0.00,21.57
TERRELL,31.87,38.69,0.00,35.64
THOMAS,9.590,9.690,0.00,9.640
TIFT,22.27,20.55,0.00,21.29
TOOMBS,30.13,28.24,0.00,29.06
TOWNS,36.71,34.14,0.00,35.34
TREUTLEN,36.53,36.66,0.00,36.60
TROUP,19.05,18.74,0.00,18.87
TURNER,13.90,12.88,0.00,13.33
TWIGGS,34.72,38.84,0.00,36.87
UNION,35.42,33.45,33.33,34.38
UPSON,28.47,28.14,0.00,28.28
WALKER,17.09,15.61,12.50,16.30
WALTON,18.99,17.86,15.00,18.38
WARE,30.60,25.96,25.00,27.98
WARREN,32.04,36.92,0.00,34.73
WASHINGTON,39.03,42.12,0.00,40.77
WAYNE,32.27,29.21,25.00,30.58
WEBSTER,40.11,42.81,0.00,41.53
WHEELER,35.94,33.88,0.00,34.86
WHITE,27.26,26.73,0.00,26.98
WHITFIELD,21.98,21.53,7.410,21.74
WILCOX,38.79,38.29,100.0,38.53
WILKES,45.66,47.79,100.0,46.84
WILKINSON,31.11,35.22,0.00,33.34
WORTH,28.43,27.57,40.00,27.97
TOTAL,15.79,16.01,5.690,15.90
