COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
DODGE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOOLY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOUGHERTY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOUGLAS,0.00,0.460,0.160,0.00,0.460,0.470,0.00,0.00,0.00,0.00,0.00,0.120,0.00,0.00,0.00,0.00,0.100,0.080,4.170,0.940,0.780,0.430
EARLY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ECHOLS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EFFINGHAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ELBERT,0.00,1.400,2.560,0.00,11.76,6.250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.160,7.810,0.00,0.150,0.200,4.760
EMANUEL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EVANS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FANNIN,0.00,7.790,5.130,0.00,14.29,4.170,0.00,16.67,0.00,0.00,0.00,0.00,0.00,3.850,0.00,0.00,12.92,14.23,0.00,5.880,0.00,13.17
FAYETTE,3.700,5.200,6.340,0.00,4.620,5.300,0.00,7.410,0.00,0.00,2.570,3.190,0.00,2.580,2.040,0.00,13.86,14.99,0.00,4.430,3.890,10.87
FLOYD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.010,0.00,0.00,0.00,0.00
FORSYTH,1.140,1.220,1.060,0.00,0.660,0.870,0.00,0.00,0.00,0.00,0.670,0.620,0.00,0.340,0.540,1.140,2.400,2.540,0.00,0.060,0.210,2.070
FRANKLIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FULTON,1.820,2.930,1.900,0.00,1.700,1.410,0.00,1.070,2.040,0.00,0.840,0.970,0.00,0.620,0.480,2.210,1.950,2.150,3.950,8.940,6.290,4.350
GILMER,0.00,5.510,5.930,0.00,8.820,7.690,0.00,0.00,0.00,0.00,0.800,0.720,0.00,0.00,0.00,0.00,12.49,12.96,0.00,0.00,0.00,12.10
GLASCOCK,0.00,26.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.28,36.80,0.00,20.00,15.25,34.96
GLYNN,0.00,6.180,7.130,0.00,2.500,3.570,0.00,0.00,0.00,0.00,0.810,2.460,0.00,3.780,3.420,12.50,15.22,16.71,0.00,0.350,0.590,11.44
GORDON,0.00,1.470,1.430,0.00,1.960,2.990,0.00,10.00,0.00,0.00,0.770,0.350,0.00,1.200,2.560,0.00,7.900,9.880,0.00,1.600,1.670,7.950
GRADY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GREENE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GWINNETT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.010,0.00,0.00,0.00,0.00
HABERSHAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HALL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HANCOCK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HARALSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HARRIS,0.00,1.850,4.090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.450,1.750,0.00,1.110,2.000,0.00,9.210,10.23,0.00,0.420,0.600,7.750
HART,0.00,2.670,2.820,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.270,2.630,0.00,0.00,0.00,0.00,5.190,7.730,0.00,0.00,0.100,5.130
HEARD,0.00,1.110,4.720,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,10.89,0.00,1.480,0.620,9.180
HENRY,0.00,1.820,2.060,0.00,1.140,1.490,0.00,3.230,0.00,0.00,0.450,0.360,0.00,0.950,0.800,6.670,7.200,8.040,0.00,0.380,0.400,3.950
HOUSTON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IRWIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JACKSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JASPER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JEFF DAVIS,0.00,3.280,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,3.260,4.030,0.00,0.00,0.00,2.930
JEFFERSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JENKINS,0.00,0.930,1.410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.820,3.810,0.00,1.410,1.010,2.680
JOHNSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JONES,0.00,1.010,0.840,0.00,0.00,7.140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.080,3.120,0.00,6.700,7.590,0.00,0.350,0.210,5.230
LAMAR,0.00,2.640,2.590,0.00,3.450,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.670,0.00,0.00,9.200,11.20,0.00,0.250,0.240,7.140
LANIER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LAURENS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LIBERTY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LINCOLN,0.00,7.030,5.660,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.330,0.00,0.00,9.120,10.80,0.00,0.00,0.00,6.900
LONG,0.00,2.610,2.340,0.00,2.330,0.00,0.00,0.00,0.00,0.00,0.530,0.800,0.00,1.820,0.00,0.00,4.850,5.550,0.00,0.830,1.150,3.620
LOWNDES,0.00,0.420,0.290,0.00,1.190,0.620,0.00,4.350,8.000,0.00,0.200,0.510,0.00,0.00,0.440,0.00,0.850,0.830,0.00,1.990,2.000,1.200
LUMPKIN,0.00,5.660,4.900,0.00,0.00,2.780,0.00,17.39,21.74,0.00,2.680,1.090,0.00,2.270,3.700,0.00,13.14,13.36,0.00,1.280,1.370,12.45
MCDUFFIE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCINTOSH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MACON,0.00,4.820,5.620,0.00,6.250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.140,0.00,36.01,33.94,0.00,22.04,17.44,24.53
MADISON,33.33,10.70,11.48,0.00,2.700,10.00,0.00,0.00,50.00,0.00,2.350,8.470,0.00,11.11,12.12,16.67,27.83,30.66,0.00,4.030,2.830,25.48
MARION,0.00,8.960,9.200,0.00,0.00,5.880,0.00,0.00,0.00,0.00,3.230,2.700,0.00,0.00,0.00,0.00,17.78,18.97,0.00,0.340,0.150,11.84
