PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
PN,0.0,1.51,0.0,100.0,5.41,3.5,2.4,2.11
PR,0.0,6.06,7.14,0.0,3.45,0.0,0.89,5.46
RA,0.0,9.39,0.0,0.0,4.44,13.04,4.05,8.95
RC,14.29,6.4,0.0,0.0,0.0,9.76,2.27,5.92
RD,5.45,6.21,12.96,0.0,3.33,17.33,9.72,14.87
RE,0.0,3.18,0.0,0.0,1.79,13.52,0.68,3.9
RF,0.0,4.7,0.0,0.0,0.0,14.81,2.45,4.67
RG,0.0,4.32,1.69,0.0,1.45,8.49,1.89,4.28
RH,0.0,5.34,0.0,0.0,0.0,5.88,1.56,4.91
RI,0.0,8.92,5.88,0.0,3.45,9.43,1.63,8.15
RJ,5.41,7.29,0.0,0.0,2.5,16.04,2.08,7.66
RK,0.0,5.37,0.0,0.0,0.0,20.78,0.49,5.31
RL,4.35,5.44,0.0,0.0,1.59,14.29,0.86,5.47
RM,0.0,6.76,7.69,0.0,7.89,18.56,2.06,6.85
RN,0.0,6.38,3.33,0.0,5.88,7.94,2.84,6.91
SA,5.44,6.6,0.0,0.0,3.33,17.27,4.04,14.84
SB,2.13,2.98,4.41,0.0,2.78,9.86,3.98,7.97
SC,0.0,4.32,10.0,0.0,0.0,5.85,3.56,4.54
SD,12.5,6.2,5.41,0.0,3.7,19.49,3.53,10.82
SE,5.13,7.36,3.03,0.0,3.0,13.67,4.76,11.25
SF,1.47,11.9,4.21,0.0,6.25,15.55,8.84,13.34
SG,0.0,11.31,0.0,0.0,12.5,10.31,2.73,10.58
SH,2.82,11.95,5.0,0.0,9.09,27.12,7.24,19.89
SI,0.0,0.71,1.79,0.0,0.0,15.95,0.0,1.77
SJ,2.5,1.14,1.37,0.0,1.47,8.26,1.25,1.66
SK,0.0,10.19,0.0,25.0,4.23,14.29,1.24,9.36
SL,0.0,3.74,3.03,0.0,3.57,8.33,0.0,3.61
SM,0.0,13.71,0.0,0.0,2.63,15.25,7.69,13.11
SN,1.9,7.3,8.7,0.0,4.44,19.41,5.92,15.45
SO,14.29,6.1,2.7,0.0,1.61,14.49,1.1,5.75
SP,0.0,4.17,0.0,0.0,4.55,16.67,1.45,5.0
SQ,0.0,3.45,0.0,0.0,3.57,14.65,0.0,5.8
SR,0.0,5.62,0.0,0.0,0.0,11.27,2.93,5.57
SS,0.0,11.97,0.0,0.0,0.0,18.03,2.63,11.38
ST,0.0,7.17,2.38,0.0,1.64,17.84,2.61,7.16
SU,0.0,6.11,0.0,0.0,6.67,14.18,2.03,6.0
SV,4.76,5.91,6.9,0.0,0.0,14.62,2.64,5.97
TA,5.88,4.37,2.27,0.0,0.0,4.73,3.72,4.29
TC,25.0,7.5,0.0,0.0,0.0,9.71,3.73,7.21
TF,8.96,12.26,5.66,0.0,9.68,26.24,8.33,21.04
TG,3.85,33.33,9.38,0.0,8.33,27.16,12.59,24.42
TH,3.5,6.94,10.1,0.0,3.51,23.1,7.2,14.97
VB,1.54,8.59,2.5,0.0,4.76,11.02,2.08,8.67
WA,0.0,4.75,0.0,0.0,6.25,5.26,1.47,4.45
WB,0.0,13.0,0.0,0.0,3.23,23.53,6.4,12.58
WD,0.0,5.13,1.82,0.0,0.0,14.83,1.88,5.02
WF,3.39,7.17,0.0,0.0,3.92,10.53,4.61,9.15
WG,2.56,5.91,0.0,0.0,5.97,12.64,1.69,5.8
WI,6.9,9.06,2.88,25.0,7.14,22.43,5.41,14.93
WJ,4.05,3.63,1.89,0.0,4.05,10.33,2.13,6.95
WK,0.0,4.04,6.45,0.0,3.33,5.43,2.02,3.91
WL,4.94,21.43,10.53,0.0,13.64,26.71,7.87,22.72
WN,0.0,8.95,3.03,0.0,6.67,14.95,3.12,8.62
YA,0.0,9.48,0.0,0.0,2.86,24.07,3.01,9.16
TOTAL,3.4,6.01,3.14,2.8,3.69,15.07,3.56,8.5
