COUNTY NAME,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
MERIWETHER,563.0,529.0,621.0,628.0,826.0,944.0,1003.0,1013.0,2625.0,8752.0
MILLER,126.0,170.0,177.0,174.0,215.0,266.0,249.0,247.0,770.0,2394.0
MITCHELL,456.0,503.0,574.0,605.0,704.0,817.0,859.0,822.0,2111.0,7451.0
MONROE,655.0,714.0,930.0,976.0,1237.0,1335.0,1423.0,1490.0,3176.0,11936.0
MONTGOMERY,212.0,266.0,206.0,261.0,316.0,347.0,392.0,354.0,1002.0,3356.0
MORGAN,511.0,570.0,661.0,734.0,905.0,1003.0,983.0,999.0,2568.0,8934.0
MURRAY,841.0,862.0,982.0,1065.0,1265.0,1372.0,1307.0,1202.0,2734.0,11630.0
MUSCOGEE,4812.0,5274.0,5381.0,5392.0,6012.0,6946.0,7477.0,7052.0,15919.0,64265.0
NEWTON,2735.0,3010.0,3798.0,4411.0,5180.0,4830.0,4332.0,3661.0,8902.0,40859.0
OCONEE,1035.0,1305.0,1782.0,1919.0,2332.0,2148.0,2130.0,1885.0,4099.0,18635.0
OGLETHORPE,361.0,433.0,478.0,510.0,678.0,686.0,779.0,681.0,1707.0,6313.0
PAULDING,4193.0,5016.0,6310.0,7293.0,8439.0,7580.0,6311.0,4923.0,10181.0,60246.0
PEACH,705.0,658.0,656.0,752.0,882.0,1090.0,1197.0,1103.0,2783.0,9826.0
PICKENS,715.0,737.0,865.0,982.0,1249.0,1342.0,1503.0,1515.0,4464.0,13372.0
PIERCE,422.0,442.0,604.0,602.0,739.0,713.0,673.0,672.0,2061.0,6928.0
PIKE,504.0,562.0,630.0,868.0,951.0,1010.0,882.0,771.0,1892.0,8070.0
POLK,892.0,924.0,1004.0,1092.0,1334.0,1410.0,1509.0,1399.0,3822.0,13386.0
PULASKI,186.0,187.0,214.0,230.0,297.0,355.0,401.0,398.0,1111.0,3379.0
PUTNAM,449.0,494.0,480.0,533.0,745.0,826.0,998.0,1119.0,3495.0,9139.0
QUITMAN,54.0,47.0,44.0,50.0,75.0,97.0,101.0,124.0,423.0,1015.0
RABUN,321.0,329.0,390.0,501.0,582.0,634.0,800.0,895.0,3192.0,7644.0
RANDOLPH,168.0,164.0,181.0,186.0,201.0,273.0,326.0,323.0,879.0,2701.0
RICHMOND,6203.0,6029.0,5822.0,5552.0,6053.0,7305.0,8184.0,7946.0,17602.0,70696.0
ROCKDALE,2223.0,2176.0,2709.0,3224.0,3921.0,4503.0,4209.0,3809.0,8312.0,35086.0
SCHLEY,105.0,132.0,161.0,171.0,239.0,183.0,174.0,141.0,463.0,1769.0
SCREVEN,386.0,348.0,397.0,389.0,459.0,555.0,630.0,660.0,1591.0,5415.0
SEMINOLE,178.0,189.0,224.0,243.0,284.0,329.0,400.0,402.0,1164.0,3413.0
SPALDING,1621.0,1647.0,1887.0,2030.0,2232.0,2438.0,2604.0,2551.0,7246.0,24256.0
STEPHENS,519.0,549.0,676.0,668.0,831.0,908.0,1035.0,1081.0,3028.0,9295.0
STEWART,131.0,135.0,131.0,135.0,169.0,226.0,234.0,248.0,569.0,1978.0
SUMTER,671.0,671.0,765.0,814.0,963.0,1089.0,1103.0,1158.0,3083.0,10317.0
TALBOT,161.0,158.0,178.0,206.0,262.0,355.0,405.0,451.0,893.0,3069.0
TALIAFERRO,38.0,57.0,60.0,47.0,64.0,104.0,81.0,92.0,318.0,861.0
TATTNALL,370.0,444.0,498.0,535.0,633.0,698.0,768.0,673.0,1937.0,6556.0
TAYLOR,195.0,185.0,227.0,247.0,317.0,340.0,366.0,353.0,950.0,3180.0
TELFAIR,214.0,208.0,245.0,262.0,305.0,361.0,422.0,450.0,1133.0,3600.0
TERRELL,268.0,216.0,285.0,233.0,333.0,448.0,467.0,470.0,1213.0,3933.0
THOMAS,1045.0,1325.0,1435.0,1392.0,1688.0,1905.0,2015.0,1922.0,5087.0,17814.0
TIFT,894.0,1020.0,1102.0,1140.0,1314.0,1381.0,1465.0,1452.0,3559.0,13327.0
TOOMBS,544.0,598.0,709.0,681.0,822.0,855.0,929.0,958.0,2523.0,8619.0
TOWNS,232.0,227.0,223.0,304.0,396.0,477.0,610.0,749.0,3135.0,6353.0
TREUTLEN,161.0,176.0,216.0,210.0,228.0,261.0,255.0,274.0,757.0,2538.0
TROUP,1655.0,1847.0,2022.0,2083.0,2469.0,2686.0,2724.0,2688.0,6166.0,24340.0
TURNER,191.0,226.0,254.0,221.0,314.0,313.0,359.0,362.0,944.0,3184.0
TWIGGS,241.0,254.0,265.0,238.0,326.0,422.0,495.0,486.0,1117.0,3844.0
UNION,406.0,451.0,502.0,580.0,792.0,982.0,1240.0,1440.0,5318.0,11711.0
UPSON,615.0,620.0,752.0,820.0,1004.0,1081.0,1182.0,1126.0,3102.0,10302.0
WALKER,1275.0,1557.0,1811.0,2062.0,2246.0,2375.0,2542.0,2600.0,6529.0,22997.0
WALTON,2335.0,2836.0,3269.0,3673.0,4442.0,4459.0,4101.0,3630.0,9097.0,37842.0
WARE,704.0,722.0,847.0,859.0,1054.0,1129.0,1272.0,1363.0,3602.0,11552.0
WARREN,151.0,125.0,152.0,139.0,197.0,227.0,266.0,254.0,703.0,2214.0
WASHINGTON,542.0,503.0,584.0,559.0,701.0,933.0,965.0,945.0,2265.0,7997.0
WAYNE,597.0,658.0,741.0,800.0,965.0,1025.0,1055.0,1099.0,2907.0,9847.0
WEBSTER,56.0,60.0,68.0,84.0,94.0,115.0,126.0,131.0,307.0,1041.0
WHEELER,112.0,107.0,147.0,151.0,168.0,213.0,219.0,225.0,623.0,1965.0
WHITE,556.0,563.0,720.0,812.0,980.0,1138.0,1275.0,1265.0,3922.0,11231.0
WHITFIELD,2032.0,1983.0,2243.0,2423.0,2883.0,3092.0,3118.0,2912.0,7462.0,28148.0
WILCOX,192.0,187.0,221.0,210.0,257.0,258.0,293.0,338.0,872.0,2828.0
WILKES,229.0,218.0,263.0,288.0,374.0,466.0,472.0,490.0,1454.0,4254.0
WILKINSON,217.0,281.0,284.0,277.0,363.0,463.0,477.0,494.0,1153.0,4009.0
WORTH,481.0,519.0,530.0,629.0,764.0,811.0,907.0,915.0,2268.0,7824.0
TOTAL,281011.0,305570.0,337189.0,359715.0,418739.0,432261.0,421831.0,380344.0,891632.0,3828292.0
