COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
TALBOT,33.96,39.52,0.00,36.99
TALIAFERRO,37.35,39.58,100.0,38.54
TATTNALL,31.62,30.17,37.50,30.83
TAYLOR,32.50,32.93,100.0,32.74
TELFAIR,29.05,29.17,0.00,29.10
TERRELL,30.48,33.30,0.00,32.03
THOMAS,30.87,32.23,6.67,31.61
TIFT,32.86,31.65,3.23,32.15
TOOMBS,30.32,29.64,33.33,29.94
TOWNS,41.56,39.49,0.00,40.45
TREUTLEN,27.95,28.35,0.00,28.17
TROUP,32.06,34.29,23.53,33.29
TURNER,28.79,29.59,0.00,29.19
TWIGGS,31.99,34.06,0.00,33.06
UNION,45.07,42.53,66.67,43.74
UPSON,33.66,34.22,0.00,33.96
WALKER,31.46,28.74,25.00,30.00
WALTON,38.56,38.69,28.57,38.62
WARE,32.53,29.26,25.00,30.68
WARREN,29.78,34.38,0.00,32.31
WASHINGTON,33.74,36.07,0.00,35.05
WAYNE,35.03,32.05,0.00,33.38
WEBSTER,34.88,37.14,100.0,36.13
WHEELER,27.14,24.55,0.00,25.78
WHITE,42.86,41.43,0.00,42.10
WHITFIELD,34.19,33.50,15.79,33.82
WILCOX,32.10,32.42,100.0,32.29
WILKES,36.17,36.62,0.00,36.41
WILKINSON,36.31,38.83,0.00,37.68
WORTH,35.07,33.47,33.33,34.20
TOTAL,32.13,33.66,24.44,32.95
